Temperature,Humidity,Comfort Level
18.43,99.89,Normal.
48.97,63.53,"Extreme danger! High temperature, please stay indoor until sunset! "
-11.33,3.68,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
28.34,13.31,"Too dry, suggest use of moist lotion. "
15.8,0.99,Normal.
8.72,17.2,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
0.76,73.15,"Too cold, please turn the heating on. "
7.35,1.47,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
26.33,57.57,Normal.
-9.07,21.78,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
25.12,33.61,Normal.
-3.05,17.77,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-1.46,73.95,"Too cold, please turn the heating on. "
48.63,34.61,"Extreme danger! High temperature, please stay indoor until sunset! "
13.87,79.96,"Too cold, please wear more clothes and have a cup of hot drink! "
31.55,38.85,Caution! High temperature. 
-18.9,69.1,"Too cold, please turn the heating on. "
15.79,49.22,Normal.
23.86,92.8,Normal.
38.84,35.18,"Danger! High temperature, please avoid outdoor activities. "
28.92,51.62,Caution! High temperature. 
-6.36,67.44,"Too cold, please turn the heating on. "
18.08,54.44,Normal.
20.89,71.91,Normal.
29.18,30.02,Caution! High temperature. 
48.0,67.4,"Extreme danger! High temperature, please stay indoor until sunset! "
-18.16,32.82,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-14.47,32.67,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
10.31,8.5,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-11.96,40.93,"Too cold, please turn the heating on. "
21.48,28.52,Normal.
-8.79,99.6,"Too cold, please turn the heating on. "
22.53,28.02,Normal.
29.41,49.92,Caution! High temperature. 
40.51,97.79,"Extreme danger! High temperature, please stay indoor until sunset! "
18.58,4.49,Normal.
45.9,36.66,"Extreme danger! High temperature, please stay indoor until sunset! "
20.02,89.53,Normal.
40.2,42.76,"Danger! High temperature, please avoid outdoor activities. "
46.55,91.15,"Extreme danger! High temperature, please stay indoor until sunset! "
13.25,16.45,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
-8.32,98.91,"Too cold, please turn the heating on. "
42.27,71.77,"Extreme danger! High temperature, please stay indoor until sunset! "
42.87,24.22,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
6.34,90.63,"Too cold, please turn the heating on. "
49.4,53.32,"Extreme danger! High temperature, please stay indoor until sunset! "
46.04,50.77,"Extreme danger! High temperature, please stay indoor until sunset! "
5.19,17.02,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
2.98,89.15,"Too cold, please turn the heating on. "
24.82,26.69,Normal.
-18.05,96.44,"Too cold, please turn the heating on. "
46.46,77.35,"Extreme danger! High temperature, please stay indoor until sunset! "
3.72,92.96,"Too cold, please turn the heating on. "
9.66,3.94,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-10.7,33.12,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
32.97,65.76,"Danger! High temperature, please avoid outdoor activities. "
-10.19,90.37,"Too cold, please turn the heating on. "
-14.76,48.41,"Too cold, please turn the heating on. "
1.76,80.77,"Too cold, please turn the heating on. "
-7.87,96.05,"Too cold, please turn the heating on. "
10.41,15.25,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
40.97,23.05,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
41.88,71.69,"Extreme danger! High temperature, please stay indoor until sunset! "
18.01,5.41,Normal.
26.5,18.8,Normal.
0.7,58.29,"Too cold, please turn the heating on. "
-2.29,23.1,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-1.34,14.96,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
1.14,38.87,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
22.13,84.39,Normal.
40.03,15.65,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
5.16,45.49,"Too cold, please turn the heating on. "
3.5,86.71,"Too cold, please turn the heating on. "
11.67,8.11,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
4.29,30.27,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
39.3,16.89,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
32.83,28.58,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-3.18,38.51,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-1.75,91.31,"Too cold, please turn the heating on. "
25.2,12.92,Normal.
21.53,0.33,Normal.
-4.36,38.68,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-3.83,29.44,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
22.77,1.89,Normal.
46.52,46.5,"Extreme danger! High temperature, please stay indoor until sunset! "
31.23,26.54,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-11.63,37.87,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.59,55.56,"Too cold, please turn the heating on. "
-5.72,75.43,"Too cold, please turn the heating on. "
9.76,3.59,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
45.51,14.57,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
-7.75,89.14,"Too cold, please turn the heating on. "
22.63,65.56,Normal.
28.11,12.59,"Too dry, suggest use of moist lotion. "
0.98,82.78,"Too cold, please turn the heating on. "
28.34,70.74,Caution! High temperature. 
18.38,14.29,Normal.
18.55,9.3,Normal.
31.46,95.25,"Danger! High temperature, please avoid outdoor activities. "
43.36,43.46,"Extreme danger! High temperature, please stay indoor until sunset! "
